Date,AEP,D,DUK,ED,EIX,EXC,KEP,NEE,NGG,PCG,PEG,PPL,SO,SRE,WEC,XEL
2010-11-18,29.103389,34.965509000000004,42.197081,39.967979,32.791487,31.805725,12.82,43.693981,35.601308,38.745777000000004,25.207943,20.279718,30.23875,43.003476,25.197207000000002,19.384975
2010-11-19,28.853192,34.932829999999996,42.006253,39.787982,32.696464,31.78983,12.79,43.385102,34.971196,38.770262,24.884349,20.154291,30.270556,43.088853,25.435195999999998,19.352119000000002
2010-11-22,29.046893,35.137068,42.12552,39.845255,32.601444,31.694460999999997,12.83,43.485279,35.136226,38.778423,24.932888000000002,20.224843,30.397777,43.123001,25.613689,19.409616
2010-11-23,28.796696999999998,34.712256,41.910837,39.468894,32.091776,31.456038,12.3,43.131257,34.37109,38.34583,24.787271,20.036704999999998,30.183092,42.747351,25.367199,19.179626000000003
2010-11-24,29.071105,34.710603000000006,42.12552,39.54253,32.437312,31.567302,12.56,43.400989,34.618635,38.435614,25.021877,19.934798,30.222846999999998,43.088853,25.630689,19.302835
2010-11-26,28.933899,34.553692,41.79157,39.419802000000004,32.01403,31.416297999999998,12.1,42.802526,33.936014,38.321344,24.779181,19.832889,30.079727000000002,42.901027,25.583941,19.261766
2010-11-29,28.796696999999998,34.363746,41.767715,39.288894,31.919007,31.281193,11.97,42.735096,33.62846,38.141776,24.949068,19.958314,29.857089000000002,42.58514,25.498944,19.253552
2010-11-30,28.732128000000003,34.297676,41.863131,39.575254,31.910366999999997,31.289139000000002,11.91,42.667662,33.770984000000006,38.30502,24.940978,19.919119,29.992262,42.764427000000005,25.592441,19.302835
2010-12-01,29.377796999999997,34.72712,42.411764,39.886163,32.454589,31.344771,12.38,42.928963,33.459344,38.933506,25.450637,20.052384,30.397777,43.157152,25.613689,19.557468
2010-12-02,29.119531,34.768412,42.364056,39.951619,32.644635,31.432194,12.49,43.181833000000005,33.812435,39.039615000000005,25.474907,20.193487,30.278509000000003,43.549877,25.532943,19.557468
2010-12-03,29.046893,35.032685,42.435617,40.107071000000005,32.886509999999994,31.829565999999996,12.6,43.072255,34.042713,39.284479,25.677153,20.311073,30.310312,43.532804999999996,25.626438,19.606753
2010-12-06,28.893546,34.718863,42.173228,40.000707,33.024725,31.614984999999997,12.5,42.912105,33.681946,38.876371,25.712320000000002,20.350268,30.278509000000003,43.490114,25.460695,19.401404
2010-12-07,28.586853,34.603244000000004,41.672301000000004,39.738890999999995,33.257963000000004,31.360666,12.6,42.853102,33.382585999999996,38.574369,25.57329,20.154291,30.127433,43.490114,25.239704,19.237123999999998
