Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2010-11-18,164.169998,108.139999,22.350839999999998,41.568025,18.794317000000003,17.364396,16.450001,34.917971,298.578587,23.049999,410.649994,21.736607,22.259470999999998,26.034117000000002,20.580072,25.797404
2010-11-19,164.820007,108.589996,22.266592000000003,41.592771,18.78518,17.364396,16.5,34.388345,295.71072799999996,23.1,409.589996,21.644891,22.415336,26.24744,20.610671,25.749996
2010-11-22,170.389999,108.870003,22.022274,41.749509,18.638992000000002,17.320121,16.43,34.332597,295.90591800000004,22.950001,420.420013,21.621963,22.347145,26.298640000000002,20.434711,25.678885
2010-11-23,168.199997,106.309998,21.516791,41.196807,18.410573,17.001347,16.35,33.561389,291.79681800000003,22.860001,407.850006,21.423246,21.743167,25.488003,19.876217,25.591971
2010-11-24,177.25,109.0,22.098097,41.667015,18.620718,17.231572,16.41,34.258262,297.78278,22.93,411.23999,21.507317,22.873189,25.914654000000002,19.99098,25.560366000000002
2010-11-26,177.199997,109.370003,22.932146,41.551526,18.474529999999998,17.258136999999998,16.120001000000002,34.100305999999996,295.295292,22.799999,410.869995,21.346816,22.580942,26.046129999999998,19.837964000000003,25.449749
2010-11-29,179.490005,107.379997,22.350839999999998,41.452535,18.465393,17.213864,16.209999,33.840138,291.346348,22.719998999999998,404.660004,21.171028,22.473785,25.693814,19.386577,25.204813
2010-11-30,175.399994,105.050003,22.350839999999998,41.122564000000004,18.31007,16.965927,16.26,33.923763,278.133121,22.639999,394.049988,21.239815,22.69784,25.341487,19.172363,25.291725
2010-12-01,176.550003,106.809998,22.460361,41.650519,19.031873,17.107604000000002,16.24,34.490553000000006,282.457462,22.74,403.100006,21.614320000000003,23.428457,25.960195000000002,19.792061999999998,25.560366000000002
2010-12-02,176.529999,106.370003,22.982696,41.766008,18.931368,17.019054999999998,16.360001,34.69497,286.196201,22.809998999999998,402.98999,21.820679000000002,23.749929,26.157841,19.82266,25.868515
2010-12-03,175.679993,109.230003,23.395508,41.576276,18.922231,16.886232999999997,16.450001,34.927261,286.786808,22.860001,414.109985,21.774822,23.759671,26.329712,19.853267000000002,25.994934
2010-12-06,178.050003,110.230003,23.572426999999998,41.518531,18.821728,17.205008,16.5,34.899387,289.46948599999996,22.92,417.160004,21.629604999999998,24.139592999999998,26.724995,20.006275,25.987030999999998
2010-12-07,176.770004,109.68,23.564002,41.807254,18.995327,17.169588,16.299999,34.68568,293.863865,22.67,412.929993,21.813036999999998,24.266232000000002,26.810931,19.960373999999998,26.034439000000003
2010-12-08,176.28999299999998,108.07,23.774620000000002,41.394791,18.995327,17.13417,16.360001,34.351181,295.565586,22.620001000000002,416.02999900000003,21.881823,23.671996,26.991386,19.876217,26.058142
2010-12-09,174.850006,108.07,24.035788,41.28755,19.050147,17.44409,16.52,34.510867,296.04605499999997,22.75,415.149994,22.02704,23.925276999999998,26.974206,19.837964000000003,26.516412
2010-12-10,175.619995,107.860001,24.423326,41.304048,19.470437,17.44409,16.48,34.435719,296.401402,22.74,419.97000099999997,22.08054,23.827861,27.317935,20.18989,26.895669
2010-12-13,174.25,108.309998,24.541272,41.3123,19.479574,17.337831,16.690001000000002,34.877204,297.60760899999997,22.780001000000002,412.0,21.996468,24.100626000000002,27.180438,20.518867999999998,26.950978000000003
2010-12-14,173.940002,106.620003,24.195857,41.097817,20.091737,17.302413,16.799999,34.98053,297.75275,22.690001000000002,400.23999,22.424474,24.344165,27.04295,20.633622,27.393442999999998
2010-12-15,175.570007,100.199997,23.850443,40.635857,19.744541,17.240427,16.549999,34.708125,295.445469,22.75,398.880005,22.263970999999998,24.353907,26.939833,20.228145,27.36184
2010-12-16,178.03999299999998,98.309998,23.766195,40.520368,19.781087,17.488364,16.799999,34.764482,296.15115699999996,22.540001,400.27999900000003,22.340401,24.56822,26.853899,20.327604,27.464553000000002
2010-12-17,177.580002,98.739998,24.221132,40.586364,19.570942000000002,17.311266,16.83,34.802056,295.695713,22.440001000000002,400.640015,22.325115,24.646152999999998,27.077322,20.419407999999997,27.369740000000004
2010-12-20,183.28999299999998,98.790001,24.473874,40.718352,20.036917000000003,17.373251,17.01,34.811451,297.827824,22.469998999999998,405.329987,22.263970999999998,24.948142,27.197629,20.327604,27.448753999999997
2010-12-21,184.75,101.25,24.339078,41.28755,20.329293,17.293557,17.17,35.06507,301.836857,22.549999,407.0,22.218114,25.581344,27.360903999999998,20.258745,27.606775
2010-12-22,184.759995,100.5,24.364353,41.064819,20.28361,17.320121,17.219998999999998,35.647451000000004,303.048069,22.610001,416.170013,22.263970999999998,25.824883,27.730411,20.182243,27.796405
2010-12-23,182.58999599999999,100.160004,24.507573999999998,40.817342,20.265335999999998,17.435235000000002,17.299999,35.412620000000004,302.417423,22.68,413.190002,22.317473,25.308579,27.764783,20.381154000000002,28.001834999999996
2010-12-27,182.139999,100.129997,24.212707,40.701853,20.192242,17.851413,17.370001000000002,35.205967,301.491489,22.549999,408.23999,22.355687,25.269614,27.730411,20.358203,28.049243
2010-12-28,181.08999599999999,98.709999,24.145309,40.470875,20.173968,18.019656,17.34,35.093247999999996,299.759769,22.549999,404.799988,22.340401,25.201423000000002,27.696040000000004,20.28935,28.144057
2010-12-29,183.369995,99.110001,24.524314,40.809094,20.055191,17.931107,17.42,35.318684999999995,300.800816,22.52,405.700012,22.401545000000002,25.240389,27.498393,20.136341,28.112454
2010-12-30,182.75,98.209999,24.234085,40.75135,20.173968,17.913397,17.309998999999998,35.205967,299.72974,22.780001000000002,404.269989,22.416831,25.25013,27.558542,19.92212,28.096652000000002
2010-12-31,180.0,96.529999,24.362128,40.932831,20.073463,17.913397,17.42,35.234145,297.282291,22.940001000000002,399.549988,22.455045000000002,25.259872,27.644476,20.228145,28.270476000000002
2011-01-03,184.220001,99.730003,24.421881,41.221557000000004,20.527699,18.143624,17.549999,35.525338,302.477482,22.889999,415.98999,22.676692000000003,25.815141,27.833527,20.205195,28.784055
2011-01-04,185.009995,100.970001,24.788935000000002,41.295801000000004,20.591934,18.170189,17.459999,36.624352,301.361363,22.74,409.380005,22.837194,25.357288,28.323342999999998,20.503564,29.360841999999998
2011-01-05,187.419998,104.629997,24.79747,41.320547,20.867226000000002,18.391561,17.23,37.535497,304.839848,22.440001000000002,433.60000599999995,22.913624,25.18194,28.503799,21.039107,29.763801
2011-01-06,185.860001,105.160004,24.490170000000003,40.965829,20.885579999999997,18.550949,17.190001000000002,37.244308000000004,307.057072,22.459999,437.32000700000003,22.603457000000002,24.938401000000002,28.589734000000004,21.085009,29.001735999999998
