Date,ACH,CLM,DD,DOW,ECL,FCX,GOLD,MON,NUE,PKX,RIO,SWM,SYT,UFS,VALE,VMC
2014-08-20,11.26,18.486954,60.889238,51.058415999999994,112.082784,35.528779,82.570952,118.052695,51.954709,84.129997,54.604891,40.498034000000004,69.36388000000001,34.284831,13.201870000000001,62.35303199999999
2014-08-21,11.06,18.547766,60.962801,50.83809,112.161647,35.240552,80.83606,114.860238,51.647228999999996,82.83000200000001,54.33912900000001,40.488577,69.170615,34.671644,13.061225,62.690934999999996
2014-08-22,11.1,18.547766,60.558217000000006,50.876408000000005,112.05320900000001,35.009969,80.38994,113.85466299999999,51.647228999999996,82.959999,53.437431000000004,40.233277,68.774412,34.888636,12.883074,62.28346
2014-08-25,11.14,18.608579000000002,60.824874,50.895568,112.960201,35.038794,79.993399,114.72355800000001,51.916273,83.900002,53.532348999999996,40.2711,69.286571,35.199975,12.779935,62.154141
2014-08-26,11.2,18.669391,60.834070999999994,50.866827,113.246103,34.961932,81.024422,114.34280700000001,52.233365,84.360001,53.095735,40.461822,69.905028,35.435837,12.901828,63.347882999999996
2014-08-27,11.06,18.699798,60.622583999999996,51.384116999999996,112.46727,35.009969,81.64898000000001,113.220075,52.185322,82.93,52.858445999999994,40.604865000000004,70.146613,35.313188000000004,12.826817,63.089237
2014-08-28,10.24,18.699798,60.824874,51.384116999999996,112.772885,34.740959000000004,82.313194,113.015055,51.849012,82.660004,50.960136,40.576254999999996,69.992003,35.1528,12.292366000000001,62.890283
2014-08-29,10.51,18.699798,60.788093999999994,51.297902,113.19680600000001,34.942717,83.423528,112.90766299999999,52.194928999999995,82.800003,51.007596,40.852803,69.682774,35.181106,12.245485,63.049448999999996
2014-09-02,11.09,18.699798,60.530634,51.297902,113.02921200000002,34.097253,81.252432,112.2145,51.810576,81.839996,50.808271000000005,41.196104999999996,69.402535,35.709433000000004,12.029829,62.422732999999994
2014-09-03,11.86,18.669391,60.521437,51.633185,113.21651999999999,33.914707,80.568386,112.565964,52.86754499999999,82.870003,50.988613,42.378584000000004,69.615131,35.549049,12.161097999999999,61.726383
2014-09-04,11.71,18.76061,60.613388,52.006783,113.265817,33.837849,78.11971700000001,110.93555800000001,53.607422,83.040001,50.276746,42.292758,67.614807,36.039642,12.020452,61.706487
2014-09-05,12.04,18.791014999999998,60.686948,52.495332,113.877054,33.645697,77.604202,111.550624,53.84764200000001,84.949997,50.267253000000004,42.502553999999996,67.817738,36.228332,11.889184,62.392891000000006
2014-09-08,11.83,18.821422000000002,60.09846700000001,52.025942,114.005214,33.540013,75.324062,111.950898,53.26150500000001,83.620003,49.223184,42.264151,67.4312,36.115116,11.682905,62.104402
2014-09-09,11.69,18.76061,60.01571,51.211687,113.03907199999999,33.088456,76.057672,111.72635600000001,53.040503,83.489998,49.479456,41.854096999999996,67.32490200000001,35.067890000000006,11.739163000000001,61.378209999999996
2014-09-10,11.32,18.791014999999998,59.96054399999999,51.115894,113.12779599999999,33.203749,75.452937,110.33026399999999,52.704193999999994,83.150002,49.745218,41.348683,67.09298299999999,34.935808,11.607894,61.746279
2014-09-11,11.37,18.809548,59.88698,50.656082,113.0785,33.203749,75.988276,110.9258,53.011674,85.18,49.811659000000006,42.14018,66.7451,35.011285,11.636023,62.830594999999995
2014-09-12,11.3,18.809548,59.56515699999999,50.454910999999996,114.11120700000001,32.896308000000005,74.739152,110.369317,52.809891,86.290001,49.621827,41.301003,66.194286,34.586734,11.532884,62.293409999999994
2014-09-15,10.95,18.716889000000002,60.043301,50.809353,113.735674,32.973166,74.739152,110.45717900000001,53.184633,85.089996,49.982507,41.167494,66.078323,35.558482,11.664152,61.994976
2014-09-16,11.0,18.469801999999998,60.530634,51.230847,114.75356000000001,33.520796999999995,74.16415699999999,111.218682,53.444070999999994,85.5,51.007596,41.043527000000005,66.174963,35.916993,11.776667999999999,62.382941
2014-09-17,10.88,18.655117,63.675318000000004,51.872671000000004,115.316852,33.155709,72.41935699999999,110.99413999999999,55.548396999999994,85.339996,50.124882,40.862338,65.334244,35.90756,11.617271,62.969864
2014-09-18,10.87,18.747776,65.468342,51.336221,116.14696399999998,32.96356,71.933582,112.751453,55.81744200000001,86.370003,50.428611,40.910021,64.435548,36.020771999999994,11.551636,62.114349
2014-09-19,10.64,18.624232,65.514319,51.240428,116.68061000000002,32.723371,69.841797,112.380467,55.385045999999996,85.010002,49.052335,40.242490999999994,64.184297,35.662262,11.251594,61.925341
2014-09-22,10.4,17.94474,65.734999,50.636922,115.929551,31.868295,68.830606,112.517146,54.731648,82.949997,47.619109,40.128059,63.991032,34.982983000000004,10.726519,61.398106000000006
2014-09-23,10.3,16.894617,65.32122199999999,50.569866999999995,115.395905,31.666536999999998,70.724113,111.85327,54.481821,79.260002,48.340469,39.584496,63.633483999999996,34.879203000000004,10.707767,61.36826
2014-09-24,10.5,17.419679000000002,66.96712600000001,51.269165,116.24578500000001,31.945157000000002,69.365945,112.614774,53.972553000000005,80.550003,49.128265999999996,39.698932,63.179303000000004,35.143367,10.867164,62.30336
2014-09-25,10.25,17.94474,66.010846,50.895568,114.279205,31.387915999999997,68.880177,110.554806,53.088547,77.980003,48.03674,39.479601,61.971378,34.360305,10.614003,61.020087
2014-09-26,10.43,17.852083,66.663689,51.676941,115.188377,31.580068,67.660792,110.38883899999999,53.427122,78.300003,47.903859000000004,39.880117,61.903735,34.520693,10.492111,61.010141000000004
2014-09-29,10.13,17.604994,66.24991999999999,51.53224,114.951203,31.128515000000004,67.561657,110.252159,52.778994999999995,75.019997,46.859786,39.651252,61.923065,33.935757,10.192067999999999,60.303841000000006
2014-09-30,10.11,18.037399,65.983263,50.586872,113.47873899999999,31.368703999999997,67.00648699999999,109.84212,52.508131999999996,75.900002,46.679448,39.393776,61.236961,33.492433,10.323336999999999,59.915876000000004
2014-10-01,9.92,17.388794,64.806309,48.667196000000004,111.373799,30.62892,66.580206,108.15314,51.105468,73.370003,46.157413,38.888358000000004,59.700481,33.158746,10.182692,58.592814000000004
2014-10-02,9.88,17.450566000000002,64.576433,48.638253999999996,111.96674499999999,30.811464,67.00648699999999,107.577133,50.670157,72.75,46.499109999999995,38.278046,59.632837,33.759378999999996,10.398348,58.473437
2014-10-03,10.2,17.574109,64.953422,48.831187,113.30085700000001,31.051653,65.13280400000001,107.206139,50.283212,72.16999799999999,44.771644,38.754853000000004,58.772794999999995,34.188404,10.332714,58.851456000000006
2014-10-06,10.67,17.759425,64.512069,48.715429,112.085328,31.214984,66.649602,107.840728,49.770514,71.43,48.853014,38.411551,59.913077,34.39815,10.604627,58.204845
2014-10-07,10.44,17.821197,63.445448999999996,47.750766999999996,110.49427299999999,30.359909000000002,65.25177099999999,105.66361100000002,48.880544,71.480003,46.869279,37.515156,58.90808199999999,33.759378999999996,10.679638,56.98126
2014-10-08,10.65,17.728538,63.004081000000006,48.233098,112.16438799999999,31.032436999999998,69.098271,107.615257,49.673776000000004,72.529999,47.286906,38.268512,59.391252,33.883321,10.754648,57.68756
2014-10-09,10.59,17.450566000000002,61.891491,46.525646,109.35781100000001,29.917959999999997,68.09699599999999,105.614572,48.009925,70.16999799999999,46.461141999999995,37.448403000000006,58.386258,32.567648,10.548369000000001,57.031003000000005
2014-10-10,10.26,16.903861,61.183478,45.888969,107.994046,29.755884000000002,65.72763,104.663265,47.119955,69.809998,45.322156,36.828553,57.361940000000004,32.090955,10.220197,56.225226
2014-10-13,10.24,15.584229,60.420291000000006,43.303675,106.274523,29.814114,68.126736,103.86887800000001,46.645952,70.5,47.097075,36.580615,57.27496899999999,31.518925,10.754648,54.991691
2014-10-14,10.19,14.798732999999999,60.576604,42.3776,105.721115,29.882052,68.50345300000001,105.791103,47.410160999999995,72.25,48.207588,36.942989000000004,57.941742000000005,31.766803999999997,11.064067,55.439344999999996
2014-10-15,10.08,13.856138,61.082331,42.531946000000005,104.10040699999999,29.144463000000002,69.455164,106.732601,47.468204,71.980003,47.600128999999995,36.942989000000004,58.531209999999994,32.453241999999996,10.839036,55.986476
2014-10-16,10.34,14.201757,60.898433999999995,43.178268,104.149822,29.348269000000002,68.612504,108.52733400000001,47.932534999999994,73.07,47.267922999999996,35.703289,58.260636,33.139677,10.44523,56.473921999999995
2014-10-17,10.12,14.767313,61.588062,44.422682,106.620403,29.445321000000003,66.352188,109.13538100000001,48.280784000000004,73.559998,47.391314,36.49479,58.647169999999996,33.111077,10.388255000000001,58.781822
2014-10-20,10.26,15.615648,62.351238,44.866426000000004,108.65616000000001,29.852936,67.958206,110.45936200000001,48.832177,74.120003,47.647586,38.001497,59.77779,34.22654,10.188846,59.149891000000004
2014-10-21,10.25,16.181206,63.279934999999995,46.506352,111.373799,30.571114,67.898718,111.36163700000002,50.002678,75.110001,48.302502000000004,39.35563,59.642503000000005,35.389668,10.207838,59.935772
2014-10-22,10.48,16.244045,63.123626,45.927556,111.087218,29.979101,65.856505,111.29298600000001,50.022025,75.07,46.926226,38.64042,58.608518999999994,34.417214,10.274307,59.040464
2014-10-23,10.55,16.495403,63.06844399999999,45.995082000000004,111.235447,30.047037,65.965556,110.635893,49.451285,73.33000200000001,46.660464000000005,39.527281,59.120678000000005,38.316561,10.283803,59.925826
2014-10-24,10.56,16.338304,63.445448999999996,46.506352,111.39356799999999,29.891755,64.131529,111.09683600000001,51.066773,73.769997,46.546566999999996,39.431917999999996,58.995053000000006,38.707449,10.59716,60.930556
2014-10-27,10.26,15.929847,62.415601,44.847136,109.33804199999999,29.396796000000002,62.753525,110.645702,50.496032,73.510002,45.948598,38.697638,58.90808199999999,37.477584,10.046411,59.458276
2014-10-28,10.66,16.244045,62.479972,46.28448,109.308397,28.173951000000002,64.37937,111.29298600000001,51.676204999999996,73.910004,46.764872,40.414142,59.516877,37.868472,10.103386,60.204364
2014-10-29,10.77,16.055526,61.422552,45.705684000000005,106.88723,28.13513,62.723786,110.018037,51.018406,74.239998,45.549954,40.499967,59.024046,37.715931,9.685576,59.09020600000001
2014-10-30,10.82,15.992687,62.213322,46.544939,107.07498899999999,27.251964,59.244085999999996,111.498938,51.337631,72.279999,44.923512,41.224712,59.294619999999995,37.935209,9.419698,59.975564
2014-10-31,11.12,16.275464000000003,63.583372,47.654302,109.921104,27.659578999999997,57.707468000000006,112.822919,52.295316,71.559998,45.530971,41.062599,59.913077,39.155541,9.581124,61.388156
2014-11-03,11.14,16.181206,63.335101,47.393843,108.804396,26.970516999999997,60.265195999999996,111.734311,51.60849,69.510002,45.227242,40.538109000000006,59.246303000000005,38.793254,9.324741,62.07456
2014-11-04,11.16,16.244045,62.99489200000001,45.898618,108.063222,26.970516999999997,59.234173999999996,111.20471699999999,51.144159,67.33000200000001,45.075377,40.976774,59.072362,39.117405,9.058863,63.168822
2014-11-05,11.26,16.432564000000003,64.190239,47.422782,109.16016,26.329978000000004,58.649267,111.62643,51.32796,67.68,45.208258,40.766978,59.42990699999999,38.440502,9.077853999999999,63.835326
2014-11-06,11.18,16.432564000000003,64.475289,48.049813,110.622748,26.757003000000005,64.052217,112.30313500000001,51.734248,68.790001,44.724187,41.691984000000005,59.478223,38.793254,8.679036,64.432195
2014-11-07,11.15,16.401142999999998,64.741946,47.750766999999996,111.15639399999999,27.504298,66.748737,112.23448400000001,52.411398,68.599998,45.910631,41.691984000000005,60.695813,38.993466999999995,8.954411,64.770425
2014-11-10,11.55,16.432564000000003,65.036179,47.731473,111.403452,27.193734000000003,63.318604,114.63726399999999,51.7149,69.120003,45.587918,40.976774,60.270621,39.041136,8.584079,65.078806
2014-11-11,11.46,16.338304,65.109739,47.77006,111.462744,27.591644,65.48969699999999,116.029896,51.589146,67.760002,45.265205,41.072134000000005,61.005042,38.83139,8.470132000000001,65.00917199999999
2014-11-12,11.53,16.229468,65.239329,48.136633,111.65051000000001,27.717809999999997,65.370737,116.69679099999999,51.531104,67.760002,45.255715,41.758736999999996,61.56551700000001,39.679902,8.375175,65.118599
2014-11-13,11.54,16.29349,65.30412199999999,48.19451,111.620857,27.077271999999997,64.40911,117.167543,51.618165999999995,67.339996,45.255715,41.606159000000005,63.053681000000005,39.784775,8.280218,65.237975
2014-11-14,11.67,16.229468,65.535535,49.554684,111.087218,27.465476000000002,68.156476,116.67717900000001,52.150211,67.849998,45.625885,41.577548,62.725129,39.536896999999996,8.422653,65.964164
2014-11-17,10.71,16.165447,65.230071,49.313518,110.86980600000001,27.581938,68.414233,116.098546,52.372703,69.489998,45.749276,40.499967,62.473879000000004,39.613166,8.403661999999999,65.655783
2014-11-18,10.56,16.357511,65.868767,50.229948,111.84815400000001,27.358721000000003,69.73274599999999,117.03024199999999,52.585522999999995,68.91999799999999,44.857068,40.766978,63.150314,40.147063,8.0998,66.750045
2014-11-19,10.58,16.29349,65.95206999999999,49.660796999999995,111.88768400000001,27.251964,67.016402,117.25580500000001,51.937391999999996,66.91999799999999,43.822489000000004,40.433215000000004,63.063347,39.803843,8.137783,67.317072
2014-11-20,10.51,16.3255,66.11868199999999,49.660796999999995,112.124858,27.727515000000004,68.1763,117.216575,52.459765000000004,67.379997,43.006219,40.042233,64.145643,40.595155,8.251731,67.655302
2014-11-21,11.12,16.357511,66.785146,50.972738,113.21191200000001,28.717437,68.70173100000001,118.481715,52.624218000000006,69.110001,45.094357,39.660786,64.058676,40.251936,8.935419,68.252172
2014-11-24,10.95,16.3255,66.785146,50.413232,113.15262,28.251592,68.81078199999999,118.20711200000001,52.150211,70.860001,44.610289,40.14199,63.836414000000005,40.204264,8.887939999999999,68.311911
2014-11-25,10.61,16.357511,66.350095,49.573977,112.16438799999999,28.416579,70.565498,117.167543,52.866057,70.5,44.638763,40.257481,64.174639,39.851512,8.925923,67.296338
2014-11-26,10.89,16.421533,66.155715,49.930901,112.411446,28.474809000000004,69.831888,118.530754,52.459765000000004,70.41999799999999,45.018426,40.806053000000006,64.145643,39.384355,8.802480000000001,66.828386
2014-11-28,10.67,16.517564,66.090914,46.950096,107.667927,26.058235999999997,64.121613,117.599066,51.879353,68.0,44.230626,41.162141999999996,63.575506000000004,38.802789000000004,8.555593,65.812814
2014-12-01,10.36,16.453543,65.794708,46.419532000000004,103.072652,25.427402999999998,68.225871,116.55948899999999,51.540776,67.599998,44.192662,40.671313,63.701127,38.535839,8.289713,64.219767
2014-12-02,10.63,16.421533,66.359353,47.085151,104.979941,25.107135,65.01384499999999,116.530069,51.405346,69.07,43.860456,41.239133,62.338592000000006,39.060204,7.9098869999999994,65.125817
2014-12-03,10.81,16.517564,66.877714,47.673592,107.9644,25.912658999999998,66.828048,118.530754,53.175610999999996,68.620003,44.847578000000006,41.393118,61.807102,39.336683,8.0998,66.778601
2014-12-04,11.15,16.581585999999998,66.988791,48.011226,108.241104,25.650620999999997,65.777194,118.756317,53.330388,68.339996,43.613677,40.66169,62.580177,39.050668,7.928878999999999,67.127078
2014-12-05,11.17,16.645607000000002,67.636738,48.387444,107.756872,25.243006,64.290143,118.530754,52.672585,68.730003,42.987235,40.825298,62.232293999999996,39.565497,7.957366,66.380337
