Date,AIG,AXP,BAC,BCS,C,HDB,HSBC,LFC,LYG,MTU,PNC,PUK,SAN,TD,USB,WFC
2010-11-18,34.518832,39.509316,11.353223,14.479405999999999,42.713521,35.165377,42.172849,20.610663,4.21894,4.95,50.116794,17.123155999999998,7.270146,30.344720000000002,22.412703,24.240616
2010-11-19,34.656711,39.976881,11.314409,14.40599,42.415521000000005,35.105618,41.61971,20.399715,4.1895050000000005,4.97,50.170273,17.062620000000003,7.190322,30.683415999999998,22.287242000000003,24.222992
2010-11-22,34.178184,39.481263,10.965079,14.10416,41.521515,35.149953000000004,41.303633000000005,20.551717,4.02271,4.9,49.537463,16.673458,6.864885000000001,30.616514000000002,22.090088,23.747168
2010-11-23,33.131912,39.228777,10.761303999999999,13.655504,40.726846,34.326817999999996,40.3791,19.816507,3.895161,4.84,48.70857,16.154574,6.435062,30.089652,21.579283,23.614994
2010-11-24,33.869979,40.210664,10.945672,13.834972,41.422183000000004,33.887302000000005,40.821612,20.173261,3.9442180000000002,4.85,48.717482000000004,16.223758,6.441202,30.942666,21.659937,23.888153
2010-11-26,33.456339,39.528019,10.790414,13.304738,40.826178000000006,34.357663,40.13414,19.801004000000002,3.7872339999999998,4.74,48.236189,15.670283,6.115765000000001,30.670871999999996,21.480706,23.48282
2010-11-29,33.683434999999996,40.519259999999996,10.974783,13.467885,41.223515,33.999107,40.315886,20.114314999999998,3.747988,4.74,48.414446000000005,15.531913000000001,5.980678,30.792134000000004,21.597207,23.967457999999997
2010-11-30,33.488782,40.416394,10.625453,13.166064000000002,41.720184,33.995253000000005,39.952395,19.903374,3.708742,4.71,47.995542,15.471376999999999,5.906994,30.436712,21.310439000000002,23.976268
2010-12-01,34.291732,41.426334999999995,10.96539,13.769706,42.713521,35.793813,40.69518,20.343877,3.9245949999999996,4.77,49.172034000000004,16.292943,6.3675180000000005,30.971936,21.695782,24.258239
2010-12-02,34.778372,42.062225,11.344177,14.014429999999999,43.905527,36.391403000000004,41.106083,20.356281,4.0619559999999995,4.82,50.41983,16.405367000000002,6.76664,30.499434,22.188665,25.359685
2010-12-03,35.492105,41.968713,11.519001,13.924701,44.203528000000006,36.256464,41.548595,20.108116,4.120825,4.87,51.034814000000004,16.4832,6.895586,30.131465000000002,22.188665,25.597596
2010-12-06,35.362334999999995,42.080928,11.305327,13.614720000000002,44.203528000000006,35.998148,41.382651,19.931293,4.0815790000000005,4.86,51.079381,16.578329,6.662253999999999,29.487523,22.090088,25.324438
2010-12-07,35.646209000000006,41.875198,11.237339,13.565775,45.892203,34.525374,41.279928000000005,19.934393,4.0815790000000005,4.81,51.569585,16.725346,6.58857,29.834584000000003,21.839167,25.086525
2010-12-08,34.24307,42.670062,11.654976,13.843123,46.090871,34.683448,41.169297,19.838229000000002,4.199317,4.81,53.63736,17.434486,6.791200999999999,30.298724,22.556085999999997,25.879567
2010-12-09,38.752577,42.838386,12.286286,14.234682999999999,46.587540000000004,30.993799,41.485378000000004,19.81341,4.248374,4.99,54.876241,17.82365,6.9262880000000004,30.361446,23.156507,26.496376
2010-12-10,39.701522,43.259192,12.431974,14.177578,47.382209,32.208262,41.564396,19.906473000000002,4.258186,5.0,54.074086,18.247404,6.76664,30.340538000000002,23.703159,26.672608
2010-12-13,39.352765000000005,43.362057,12.17945,14.128632000000001,47.779542,32.044404,41.588104,19.884762,4.267997,5.14,53.476928,17.979315,6.846464,30.60397,23.461198,26.628549
2010-12-14,41.988719,43.203087,12.043474,13.973645999999999,46.587540000000004,31.680066999999998,41.627614,19.723444,4.21894,5.13,53.842354,17.927425,6.834183,30.465982,23.246122,26.276087
2010-12-15,41.518301,43.128274,11.936638,13.369995999999999,45.594202,30.560064,40.821612,19.382213,4.150258999999999,5.06,52.193483,17.789057,6.570149000000001,30.219275,23.12066,26.249653000000002
2010-12-16,42.256368,41.678821,12.160025,13.533142000000002,45.594202,31.240546999999996,40.734689,19.124732,4.1796940000000005,5.15,52.068701000000004,18.065794,6.594710000000001,30.077108000000003,23.389506,26.452319
2010-12-17,42.629459000000004,41.155146,12.208587,13.247632999999999,46.686871999999994,31.695488,40.307982,19.059587,4.032522,5.17,52.140005,18.039851000000002,6.459624,29.780226000000003,23.479121,26.399448
2010-12-20,43.326971,39.743097999999996,12.257149,13.239482,46.786204,31.030428000000004,40.268473,18.938604,4.02271,5.2,52.255873,18.065794,6.496465,29.0652,23.425351000000003,26.522810999999997
2010-12-21,44.754443,40.425744,12.606798,13.598408,47.084209,31.575969,40.513435,19.103021,4.101202,5.24,53.57496999999999,18.057146,6.668394,30.085469,23.801734,27.157242999999998
2010-12-22,45.224858000000005,40.032990999999996,12.995298,13.549463000000001,46.984873,32.150428999999995,40.703081,19.165058,4.140448,5.28,54.029522,18.022555,6.625412,30.357264,24.151232999999998,27.58901
2010-12-23,44.065041,39.995584,12.684499,13.565775,46.488203999999996,31.897901,40.671475,19.013054999999998,4.101202,5.3,53.57496999999999,18.152275,6.533307,30.599788,24.213964,27.30704
2010-12-27,48.160907,40.25742,12.888461,13.476045999999998,47.382209,31.824648,40.458121000000006,18.913783,4.111013,5.3,53.833443,17.95337,6.4105,30.695963,24.303579,27.500894
2010-12-28,47.795928,40.014288,12.956448,13.476045999999998,47.481542,32.02513,40.33169,18.839332000000002,4.071768,5.34,54.181042000000005,17.970667000000002,6.40436,30.72105,24.357347,27.492084000000002
