Date,^IXIC
2011-01-03,0.07044230230008974
2011-01-04,0.06478240728021611
2011-01-05,0.06721113168765558
2011-01-06,0.08615000149155305
2011-01-07,0.06293442607374877
2011-01-10,0.06835110866078709
2011-01-11,0.07587858055950725
2011-01-12,0.09570780108883326
2011-01-13,0.07290261429314704
2011-01-14,0.06821483874423628
2011-01-18,0.06729416607799177
2011-01-19,0.05026751842864763
2011-01-20,0.040715973279543016
2011-01-21,0.030806899427787915
2011-01-24,0.0385528668143571
2011-01-25,0.030979609708969402
2011-01-26,0.043654865058850856
2011-01-27,0.048544007507564046
2011-01-28,0.026619819033927072
2011-01-31,0.023800773362158578
2011-02-01,0.04094634868630531
2011-02-02,0.03774211483160039
2011-02-03,0.032339724524817814
2011-02-04,0.0366164334871788
2011-02-07,0.04441397345716935
2011-02-08,0.04865650197650395
2011-02-09,0.04738861328504029
2011-02-10,0.04631543465687127
2011-02-11,0.054998521243107445
2011-02-14,0.06193662250823251
2011-02-15,0.04192057913802927
2011-02-16,0.05382193342657349
2011-02-17,0.04787955345499895
2011-02-18,0.04578047924399553
2011-02-22,0.019699094595060362
2011-02-23,0.005609698177533318
2011-02-24,0.007755296943528611
2011-02-25,0.0159717570604212
2011-02-28,0.01717550253543698
2011-03-01,-0.006492990484463834
2011-03-02,-0.006428414183710318
2011-03-03,0.026924839330966233
2011-03-04,0.02972309990452171
2011-03-07,0.020854809070198543
2011-03-08,0.017743912763536374
2011-03-09,0.011940781833226
2011-03-10,-0.0140463515240008
2011-03-11,-0.014397782287994043
2011-03-14,0.005240288422938999
2011-03-15,-0.012129269893453865
2011-03-16,-0.0488406383716129
2011-03-17,-0.041282971662485846
2011-03-18,-0.04001988673519774
2011-03-21,-0.02788067729529009
2011-03-22,-0.03596272736598438
2011-03-23,-0.035305052920059476
2011-03-24,-0.018877312048942052
2011-03-25,-0.01698288549594562
2011-03-28,-0.02803406040136458
2011-03-29,-0.0214008478177673
2011-03-30,-0.009827609976249096
2011-03-31,-0.01574554781034998
2011-04-01,-0.014825637574640393
2011-04-04,-0.015794213297311677
2011-04-05,0.012614195218401791
2011-04-06,0.028215336186380835
2011-04-07,0.0212717751140048
2011-04-08,-0.00022657880616949733
2011-04-11,-0.003867349294875422
2011-04-12,0.002696025526775392
2011-04-13,0.004894326442625552
2011-04-14,-0.01376334319645034
2011-04-15,-0.007189369139169344
2011-04-18,-0.0037332052886897005
2011-04-19,-0.007520527321356996
2011-04-20,0.01845756092017692
2011-04-21,0.04410922211528079
2011-04-25,0.04060589394470071
2011-04-26,0.054265715492473277
2011-04-27,0.07593728525412735
2011-04-28,0.0977178232951399
2011-04-29,0.09009312630088084
2011-05-02,0.08337279709762502
2011-05-03,0.05554421438811841
2011-05-04,0.05378794677343168
2011-05-05,0.0431456546291602
2011-05-06,0.03330634171577995
2011-05-09,0.03652488055129388
2011-05-10,0.051712380988047535
2011-05-11,0.031981750966504796
2011-05-12,0.03106104487145922
2011-05-13,0.01704376439320976
2011-05-16,-0.002613291777995963
2011-05-17,-0.0021439844996200552
2011-05-18,0.008530433078111965
2011-05-19,0.008389821641924033
2011-05-20,0.0025678883298991817
2011-05-23,-0.00773984527650784
2011-05-24,-0.009146673801838423
2011-05-25,0.0060441213223156876
2011-05-26,0.007749319883619821
2011-05-27,0.01327435363302798
2011-05-31,0.025554825928914227
2011-06-01,0.012360278808119185
2011-06-02,0.01032437086722493
2011-06-03,-0.02488126028138604
2011-06-06,-0.041699710892138975
2011-06-07,-0.043993315054856375
2011-06-08,-0.06045925733864643
2011-06-09,-0.06446603117291483
2011-06-10,-0.07965105558170649
2011-06-13,-0.08138049055386765
2011-06-14,-0.06471889819834853
2011-06-15,-0.07395786465006937
2011-06-16,-0.0723173258350086
2011-06-17,-0.07042973831942867
2011-06-20,-0.06998972360289657
2011-06-21,-0.054863269146223526
2011-06-22,-0.0705806836446149
2011-06-23,-0.05564383728884925
2011-06-24,-0.07340105033019417
2011-06-27,-0.04956387850581845
2011-06-28,-0.019048919378542917
2011-06-29,-0.015349172932914823
2011-06-30,-0.014735339253996504
2011-07-01,-0.002578544278830752
2011-07-05,0.008008344197391937
2011-07-06,0.027228286878238306
2011-07-07,0.04606432402105498
2011-07-08,0.0356452861143699
2011-07-11,0.007078965817256533
2011-07-12,-0.005345349580618053
2011-07-13,-0.013536530997322993
2011-07-14,-0.00235448601898558
2011-07-15,0.005945959755378372
2011-07-18,0.011830472140792914
2011-07-19,0.045867606378326986
2011-07-20,0.04170550294621456
2011-07-21,0.059449519677800655
2011-07-22,0.06479269142239841
2011-07-25,0.07529894145997451
2011-07-26,0.07586876658859842
2011-07-27,0.03213104353265739
2011-07-28,0.051222530837511826
2011-07-29,0.05056978102600107
2011-08-01,0.048970421321549606
2011-08-02,0.015051405628303094
2011-08-03,0.002162075116802775
2011-08-04,-0.04226003038125492
2011-08-05,-0.05744490108867584
2011-08-08,-0.11127486021147126
2011-08-09,-0.07653964868999896
2011-08-10,-0.12760001702686719
2011-08-11,-0.09042545636154653
2011-08-12,-0.09574116576955516
2011-08-15,-0.09262332976350518
2011-08-16,-0.10698679186921234
2011-08-17,-0.11381007816592625
2011-08-18,-0.17134989698704028
2011-08-19,-0.18112041020693537
2011-08-22,-0.16314741738507288
2011-08-23,-0.12072635837389412
2011-08-24,-0.1177116221348864
2011-08-25,-0.12416975197372149
2011-08-26,-0.11110113468924099
2011-08-29,-0.0734147980169384
2011-08-30,-0.08859300879814747
2011-08-31,-0.08342247103770817
2011-09-01,-0.10174528914761682
