Date,^GSPC
2011-01-03,0.06282333579003474
2011-01-04,0.05873819290570692
2011-01-05,0.06571837243239886
2011-01-06,0.07886646191536517
2011-01-07,0.06104228769976627
2011-01-10,0.06755504824170067
2011-01-11,0.0730113568986046
2011-01-12,0.08928881252369503
2011-01-13,0.06441588587599201
2011-01-14,0.058705033275936014
2011-01-18,0.057409559192766135
2011-01-19,0.04807381879158967
2011-01-20,0.0461777405515833
2011-01-21,0.044835009688169336
2011-01-24,0.04690994809407956
2011-01-25,0.04093843035914024
2011-01-26,0.04528162598228347
2011-01-27,0.04667408289928132
2011-01-28,0.033281240469892115
2011-01-31,0.0347984907303196
2011-02-01,0.051193358248929455
2011-02-02,0.045666737506283805
2011-02-03,0.04184600749585865
2011-02-04,0.04133172635543736
2011-02-07,0.04955562911979716
2011-02-08,0.05330240383702023
2011-02-09,0.04955860065030393
2011-02-10,0.049286355213367106
2011-02-11,0.056658837660751304
2011-02-14,0.05938100737038021
2011-02-15,0.04413974322902403
2011-02-16,0.05205479259225698
2011-02-17,0.050032894692031205
2011-02-18,0.054292134319591234
2011-02-22,0.03455756272119559
2011-02-23,0.029651525103366883
2011-02-24,0.024810115887422546
2011-02-25,0.02637721626544476
2011-02-28,0.033853649172324696
2011-03-01,0.010121838252156179
2011-03-02,0.010362713157129555
2011-03-03,0.03826285986366873
2011-03-04,0.03193883561199429
2011-03-07,0.020867284451486112
2011-03-08,0.02399986118806008
2011-03-09,0.022336130356610973
2011-03-10,-0.0011722850729495304
2011-03-11,0.0036474366758623145
2011-03-14,0.015709019175224936
2011-03-15,-0.003304512811030502
2011-03-16,-0.038781240540660455
2011-03-17,-0.023243374252081783
2011-03-18,-0.021337323473411107
2011-03-21,-0.009528015781610777
2011-03-22,-0.019165329639436623
2011-03-23,-0.02040655314702433
2011-03-24,-0.008494315121379992
2011-03-25,-0.00610494680303264
2011-03-28,-0.014264817859266699
2011-03-29,-0.009667351328537355
2011-03-30,0.00018825159307356287
2011-03-31,-0.007849909021712675
2011-04-01,-0.005983169338875438
2011-04-04,-0.007550215504350533
2011-04-05,0.01306792006553481
2011-04-06,0.02152364577285648
2011-04-07,0.02098616836663969
2011-04-08,0.006280903543197436
2011-04-11,-0.002079542246429922
2011-04-12,0.0059939511943643
2011-04-13,0.0045627566179591295
2011-04-14,-0.01235937050303293
2011-04-15,-0.001112644266961893
2011-04-18,-0.0038087746872113026
2011-04-19,-0.006960063681774709
2011-04-20,0.00783318801483035
2011-04-21,0.03263817010877257
2011-04-25,0.023744878639094802
2011-04-26,0.039224287761889354
2011-04-27,0.05756437024645389
2011-04-28,0.08242630528600081
2011-04-29,0.07057282294900924
2011-05-02,0.06410989008863721
2011-05-03,0.0448558894743607
2011-05-04,0.04139060665511485
2011-05-05,0.028947035059470716
2011-05-06,0.023318965385791257
2011-05-09,0.024729782910824172
2011-05-10,0.03584983484467141
2011-05-11,0.017158806775881885
2011-05-12,0.015350920637895227
2011-05-13,0.00900572803168731
2011-05-16,-0.0022065752470910027
2011-05-17,-0.0029185254485377676
2011-05-18,0.006040723208839971
2011-05-19,0.006034964706887358
2011-05-20,-0.00017996865280378582
2011-05-23,-0.008131525815379681
2011-05-24,-0.0061760507987149715
2011-05-25,0.004801498171264518
2011-05-26,0.008581726179975435
2011-05-27,0.012612935328288222
2011-05-31,0.01933794249799292
2011-06-01,0.007209980455621823
2011-06-02,0.00024374609652366708
2011-06-03,-0.022700585811741836
2011-06-06,-0.03829125664249777
2011-06-07,-0.03767838157648373
2011-06-08,-0.05023598727944534
2011-06-09,-0.04917164504976479
2011-06-10,-0.06578560604765382
2011-06-13,-0.06730665660240087
2011-06-14,-0.05388546859631693
2011-06-15,-0.06722586379098738
2011-06-16,-0.059139576487796
2011-06-17,-0.047636864012646774
2011-06-20,-0.04614234312861876
2011-06-21,-0.03771105596065405
2011-06-22,-0.05159304521636099
2011-06-23,-0.04364863340526637
2011-06-24,-0.05946692735164327
2011-06-27,-0.04310908686681436
2011-06-28,-0.024671431258675658
2011-06-29,-0.016230452169791243
2011-06-30,-0.014947666999452491
2011-07-01,-0.0029249271138719335
2011-07-05,0.00345765293664968
2011-07-06,0.016586058649377344
2011-07-07,0.028063893082130864
2011-07-08,0.01766801102060045
2011-07-11,-0.004676773058505113
2011-07-12,-0.013116941863726694
2011-07-13,-0.02042817499329519
2011-07-14,-0.004320911177418396
2011-07-15,0.002437334641189004
2011-07-18,0.00406096700554337
2011-07-19,0.031535438248785796
2011-07-20,0.031830300930773214
2011-07-21,0.050204747755415946
2011-07-22,0.04346006206361519
2011-07-25,0.05228254972198676
2011-07-26,0.047262595692470155
2011-07-27,0.013215635169759432
2011-07-28,0.027856362926395928
2011-07-29,0.019437706058845095
2011-08-01,0.012143091624066127
2011-08-02,-0.019016502616827524
2011-08-03,-0.027155160442831283
2011-08-04,-0.06764615192232981
2011-08-05,-0.06553953642384103
2011-08-08,-0.11745831192042044
2011-08-09,-0.0840324576336059
2011-08-10,-0.13566291194431268
2011-08-11,-0.10308167712899785
2011-08-12,-0.10739486490571015
2011-08-15,-0.1009054838580834
2011-08-16,-0.10847011275872986
2011-08-17,-0.10851836079735411
2011-08-18,-0.15708454763855972
2011-08-19,-0.163915770180181
2011-08-22,-0.14829217764660718
2011-08-23,-0.11516856769927186
2011-08-24,-0.10633518356230487
2011-08-25,-0.11429704674374486
2011-08-26,-0.10587016914002123
2011-08-29,-0.07304815947867493
2011-08-30,-0.08578229007834748
2011-08-31,-0.08066580714312244
2011-09-01,-0.10372079172323356
