Date,CCL,CUK,F,GM,HD,HMC,JCI,LOW,LUV,LVS,MCD,SBUX,TGT,TJX,TM,WMT
2010-11-18,36.341195,37.055651,14.349770999999999,32.023990000000005,27.480666999999997,37.809318,33.248795,19.774594,13.19014,39.565415,66.723566,14.248516,48.692913,21.627885,77.290001,47.637774
2010-11-19,36.194413,36.915289,14.492201000000001,32.089555,27.792238,37.69984,33.023655,20.185804,13.199866,41.506707,67.247089,14.332385999999998,49.564316999999996,21.750582,78.470001,47.999602
2010-11-22,36.349828,36.871423,14.420986,31.920962,27.676510999999998,37.182313,33.672061,20.405115,13.267957999999998,42.935365000000004,67.14576,14.38364,49.089005,21.835527,78.470001,47.990778000000006
2010-11-23,35.348265000000005,35.853797,13.975893,31.143542,27.516274,36.455785,33.230787,20.167528,13.053958,41.229381,66.715127,14.164646,48.622498,21.632603,77.43,47.364195
2010-11-24,36.686563,36.845106,14.198439000000002,31.358971,27.738826,37.082786,33.59101,20.706669,13.374957,42.800903000000005,67.11199,14.667864000000002,50.391708,21.939349,78.93,47.664248
2010-11-26,36.056266,36.134521,14.331967,31.658697999999998,27.596393,36.664786,33.401893,20.322873,13.160957000000002,42.069767999999996,66.318263,14.509444,50.039623999999996,21.873279,78.360001,47.425974
2010-11-29,35.520949,35.494118,14.296358999999999,31.658697999999998,27.320428999999997,36.565263,33.059678000000005,20.43253,13.180411999999999,42.439537,66.59909,14.346364999999999,49.581921,21.37305,78.25,47.523047
2010-11-30,35.667732,36.318749,14.189537,32.033359000000004,27.101533,36.057686,32.816525,20.743221,12.956685,42.086576,66.633131,14.257835,50.118843,21.524063,77.690002,47.73485
2010-12-01,36.755635,37.029331,14.652432000000001,32.576613,28.357481,37.092741,34.08632,21.702709,13.053958,43.145462,67.475617,14.770372,51.069465,21.514623999999998,79.58000200000001,48.273181
2010-12-02,37.316857,37.6171,14.937292999999999,32.482949,29.927415000000003,37.490836,35.076941,22.771853,12.917776,41.321821,67.552203,15.264270000000002,52.5042,21.014393,79.019997,48.317305
2010-12-03,37.377296,37.696054,14.955095000000002,32.361184,30.035065999999997,38.018318,35.293074,22.717026,12.839958,41.380651,67.875587,15.245632999999998,52.037689,21.37305,79.050003,48.202578
2010-12-06,37.118271,37.31883,14.821568,32.295619,29.909471999999997,37.769507,35.57225,22.680473000000003,12.655141,41.195765,67.72240699999999,15.245632999999998,52.134512,21.231476,79.139999,48.087855
2010-12-07,37.126903999999996,37.178468,14.741451000000001,32.482949,30.097863,36.993214,35.121969,22.982026,12.60162,39.994011,68.369161,15.273589000000001,52.011284,21.170126,78.66999799999999,48.617358
2010-12-08,37.601782,37.897824,14.857176,32.267521,30.528472999999998,37.082786,34.660792,23.448064000000002,12.475117,38.691412,67.007565,15.180401999999999,52.046493,21.099338,78.360001,48.353806
2010-12-09,37.765834000000005,37.968004,14.919489000000002,31.602501,30.788634000000002,37.590363,34.299081,23.009441,12.504311,39.279684,66.04594,15.096532,52.292949,21.217317,77.970001,48.220696000000004
2010-12-10,37.964419,38.336457,14.892782999999998,31.668066999999997,30.860404,37.361457,34.326208,23.045992000000002,12.552964999999999,38.111543,66.003388,15.18506,51.888056,21.269228,77.260002,48.167451
2010-12-13,37.455003000000005,38.152232,14.661335000000001,31.658697999999998,31.003940999999998,37.69984,34.181523999999996,22.844957,12.494580000000001,38.035908,65.620441,14.905495000000002,51.747223,20.81619,77.980003,48.105334
2010-12-14,36.95422,37.608326,14.616826000000001,31.742996,31.147478000000003,37.769507,34.62462,22.945475,12.533503999999999,36.682888,65.620441,14.961407999999999,52.002483000000005,20.981359,78.040001,48.318309
2010-12-15,36.393001,37.345147,14.732548999999999,31.480736,31.210275,37.600314000000004,34.434723,22.991164,12.261036,35.523153,65.509814,14.849582,51.738419,20.698210999999997,78.139999,48.123083
2010-12-16,36.729733,37.801325,14.928391,31.480736,31.506318,38.207413,35.131011,23.256167,12.29996,38.027506,65.280041,15.18506,51.984879,20.669895,78.300003,48.478039
2010-12-17,36.703829,37.608326,14.955095000000002,31.846028000000004,31.488375,38.296985,34.950159,23.000303,12.582158999999999,38.136757,65.365139,15.278248999999999,51.509568,20.500004999999998,77.480003,48.282813
2010-12-20,37.342758,38.459272999999996,14.999606,31.621230999999998,31.578088,38.993657,35.329952,23.356683,12.591889,39.901568,65.45875,15.343481,51.579982,20.712367999999998,77.230003,47.714884999999995
2010-12-21,39.009152,39.810261,15.124231,31.70553,31.470436,39.262373,35.320910999999995,23.46634,12.747585,39.825933,65.407692,15.310865,52.548209,20.86338,78.010002,47.608399
2010-12-22,40.226569,41.187566,15.124231,32.707743,31.560145000000002,39.232513,34.941114,23.457202,12.737853999999999,38.691412,65.53534300000001,15.343481,52.838675,20.934168,77.690002,47.306687
2010-12-23,39.976177,40.985796,14.937292999999999,32.604714,31.479405,39.152895,34.669833000000004,23.320132,12.591889,38.498124,65.49279,15.203698999999999,53.041121999999994,20.995518,77.660004,47.564027
2010-12-27,39.682615999999996,40.678751,15.01741,32.408015999999996,31.613972999999998,39.351945,34.507063,23.28358,12.640544,38.372064,65.041763,15.129148,52.856279,20.915291,77.900002,47.537406
2010-12-28,39.699884000000004,40.652434,14.892782999999998,33.082403,31.479405,39.351945,34.353339,22.982026,12.728123,37.548485,65.041763,15.091872,52.733051,20.943607,78.25,47.688264000000004
2010-12-29,39.820762,40.626117,14.901685,33.738057,31.299984000000002,39.391756,34.687919,22.872370999999998,12.708662,37.674545,65.51831899999999,15.147784,52.715447,21.061586,79.099998,47.989976
