Date,BA,CNI,DE,EMR,ERJ,GD,GE,HON,NJ,NOC,NSC,PHG,RTN,UNP,UPS,UTX
2010-11-18,57.541141,29.502584000000002,68.66892,47.614046,26.866894,59.042072999999995,13.505547,44.418471000000004,12.895,49.376684999999995,53.6009,26.0363,40.324768,41.2017,59.092994,66.792905
2010-11-19,56.632737,29.705253000000003,69.290925,48.01887,27.104653999999996,58.645813000000004,13.657104,44.454189,12.865,49.525437,53.80250600000001,25.9865,40.273365000000005,41.260116,59.90783199999999,67.042164
2010-11-22,57.024595999999995,29.516402000000003,68.642264,47.975805,26.601701000000002,58.346424,13.497126999999999,44.3381,12.715,48.758208,53.522011,26.0031,39.86215,40.586078,59.630441000000005,66.864124
2010-11-23,56.641641,28.926809000000002,67.833659,47.459008000000004,26.309072999999998,58.54015,13.269789000000001,44.293446,12.45,47.983152000000004,52.268547,24.791338,39.785047,39.997419,59.08433,66.03622299999999
2010-11-24,58.253617000000006,29.659191999999997,67.735922,48.458144,27.186956,59.896218000000005,13.421347,45.016788,12.76,49.071886,53.486948,25.073528,40.273365000000005,40.779302,60.323915,67.736532
2010-11-26,57.71035500000001,29.645374,67.531547,47.88967,26.748014,59.103712,13.303467999999999,44.766746000000005,12.56,48.724753,53.32916899999999,24.235255,39.819316,40.657465,59.899162,67.01545899999999
2010-11-29,57.318493000000004,29.673009999999998,66.802918,47.700181,26.38223,58.390448,13.446607,44.588142,12.605,48.298728000000004,53.390527,23.172887,39.870719,40.905653,60.575302,66.58815899999999
2010-11-30,56.793043000000004,29.456521000000002,66.3764,47.433169,26.629134999999998,58.196721999999994,13.328728,44.391678000000006,12.49,48.661637,52.74188,22.492309,39.622276,40.661978000000005,60.792014,67.006555
2010-12-01,58.529697999999996,30.152053000000002,67.655947,48.216975,26.812026,59.54399599999999,13.724463,45.436505,12.88,49.97916,53.925222,23.363781,40.478974,41.253112,61.927589000000005,69.668306
2010-12-02,59.304508999999996,30.727826,69.57526800000001,48.974940999999994,27.150378000000003,59.702498999999996,14.044421,45.713337,12.87,50.515637,54.775473999999996,24.484247,41.404209,42.263911,62.291663,70.059996
2010-12-03,59.259983,30.796919,69.584149,48.957715,27.21439,59.508773,14.128620999999999,45.945523,13.1,49.868717,55.117327,25.106728,40.633179999999996,42.665521000000005,62.239654,70.095605
2010-12-06,59.304508999999996,30.663339,70.23281,49.018007,27.113799,59.552797,14.061260999999998,45.695477000000004,13.275,50.271069,54.968313,24.534045000000003,40.43614,42.606857,62.1443,69.801839
2010-12-07,58.983902,30.829162,72.347611,48.673476,26.940051,60.521427,14.339119,45.927662,13.245,50.79177,55.073501,24.475947,40.43614,42.475995000000005,62.1443,69.917565
2010-12-08,58.048778000000006,30.417095,71.62786899999999,48.518440000000005,27.250968,60.292478,14.347539000000001,45.87408,13.175,50.775991,54.398559,24.401249,39.802182,41.726924,62.421691,69.160883
2010-12-09,57.541141,30.861076,71.574557,48.906034000000005,26.766303999999998,60.662314,14.423316,45.847291,12.99,50.184283,54.775473999999996,24.484247,39.29673,41.875837,63.31454300000001,69.107465
2010-12-10,57.140377,30.902696999999996,72.987385,49.646774,26.775449,61.252293,14.920092000000002,46.418818,12.82,50.618202000000004,54.950781000000006,24.799637,39.04829,41.803636,63.184515000000005,69.792935
2010-12-13,56.81085600000001,30.902696999999996,72.783017,49.81904,26.985775,61.111406,14.835894,46.436679,12.9,50.491974,54.556337,24.990532,38.954053,41.596061999999996,63.080491,69.57038100000001
2010-12-14,57.434267000000006,30.865698,73.342815,49.939625,27.205245,61.622137,14.894832999999998,46.909975,12.865,51.052121,54.661522,24.957332,39.091124,41.3208,62.933128,70.19353000000001
2010-12-15,57.21161899999999,31.194056,72.472011,49.905171,27.150378000000003,61.067375,14.726434,46.025894,12.81,50.294742,54.80177,24.641942999999998,38.431466,41.262139000000005,62.629732999999995,70.28255
2010-12-16,57.354117,31.120062,73.111785,50.542553000000005,27.342414,62.009581999999995,14.962192000000002,47.695827,12.82,50.941662,55.213747999999995,24.816236,38.885515000000005,41.645699,63.938675,70.344865
2010-12-17,57.915188,31.092314000000002,72.46313,50.24109,27.223535,61.886303000000005,14.903253,47.320764000000004,12.84,50.586644,54.93325,24.542345,38.697041,41.144814000000004,63.331877,70.149023
2010-12-20,56.347747,30.629837,73.369472,49.862105,26.537689,61.648553,14.903253,47.249321,12.745,50.555085999999996,54.600164,24.558945,38.517134999999996,41.018465,63.054486,70.238043
2010-12-21,57.16709399999999,30.851824,75.048874,50.189409999999995,27.238642,61.807055000000005,15.07165,47.802988,12.565,50.88644,54.915721999999995,24.617043,38.508569,41.541911,63.175844999999995,70.638638
2010-12-22,57.541141,30.708458,74.5957,49.974078000000006,27.210753000000004,62.106444999999994,15.326239000000001,47.972663,12.545,51.383468,54.93325,24.907534,39.065421,41.555448,63.15851,70.789973
2010-12-23,57.941904,30.551214,74.266932,49.50035,27.173567,62.537921,15.309268,47.713688,12.47,51.186237,54.731643999999996,24.832836,39.04829,41.383975,63.045823,70.772171
2010-12-27,57.665822999999996,30.870324,74.258045,49.328084999999994,26.838895,62.608368000000006,15.436562,47.677966999999995,12.64,50.996893,55.02967099999999,24.998832,39.039721,41.51935,63.115165000000005,70.567419
2010-12-28,57.763789,30.990569,74.231388,49.250565,26.671558,62.537921,15.546883,47.785127,12.56,51.131015999999995,54.968313,24.982232,39.108258,41.474226,63.115165000000005,70.585227
