Date,BHI,BP,CAM,CEO,COP,CVX,E,EPD,HAL,OXY,PTR,SLB,SNP,STO,TOT,XOM
2010-11-18,47.282133,33.014132000000004,47.07,185.63144499999999,38.143452,70.294977,33.425544,8.397588,35.447601,72.975656,103.63613000000001,69.201153,58.100165000000004,16.792219,40.251912,61.302237
2010-11-19,47.53802,32.873346000000005,48.689999,187.513241,38.248458,70.395617,33.651087,8.409413,35.87229,73.70275,103.098511,70.053564,58.333946999999995,16.927962,40.403832,61.502773
2010-11-22,47.357953,32.568312,48.200001,187.143459,37.98285,69.984677,33.184965000000005,8.423209,35.211662,73.936747,102.643602,70.02606800000001,58.79535,16.592596,39.894892999999996,61.197615
2010-11-23,46.80827,31.981707,47.259997999999996,179.846389,37.383669,68.558988,31.936957,8.478391,34.409464,73.610812,99.616404,69.14616099999999,57.091232999999995,16.305139999999998,38.709895,60.142633999999994
2010-11-24,48.049794,32.43535,48.400002,185.03978999999998,37.958133000000004,69.548586,31.741488,8.423209,35.268285,74.329541,102.048086,70.713497,57.934063,16.488792,38.67951,60.927326
2010-11-26,47.206317,32.012994,47.48,179.542349,37.562802000000005,68.81058399999999,31.192666,8.409413,34.503842,73.251451,99.641217,69.64111,57.552636,16.249246,38.094609999999996,60.360606000000004
2010-11-29,48.125609999999995,31.747065999999997,48.810001,182.336265,37.482502000000004,68.508672,30.470924,8.328610000000001,35.740165000000005,74.362973,102.68495899999999,70.771617,58.73383199999999,16.105518,37.441342,60.552415
2010-11-30,49.433476,31.285603000000002,48.110001000000004,176.920991,37.167474,67.904849,30.313044,8.293136,35.711853000000005,73.686027,101.601449,71.084112,57.115836,15.961789999999999,37.046343,60.648323
2010-12-01,51.006703,31.770528999999996,49.919998,184.11123,38.575845,69.355696,30.884422999999998,8.090143,37.074104999999996,75.42434,105.356502,74.31019599999999,58.149381000000005,16.424913,37.654033,62.191563
2010-12-02,51.641683,32.318028000000005,50.889998999999996,188.696551,39.347974,70.86525400000001,31.530978,8.129559,38.41744,75.833842,107.77165,74.20909300000001,59.059892000000005,16.832142,38.269321000000005,62.322347
2010-12-03,52.181886999999996,32.450993,51.360001000000004,188.778717,39.483869,71.192324,31.824187,8.103939,38.928286,76.66957,106.82047299999999,76.047317,58.112472,17.279296,38.998549,62.0695
2010-12-06,52.513591000000005,33.483418,50.82,193.322948,39.644481,71.242641,31.621198,8.103939,38.616101,77.764383,106.655055,76.157613,56.863601,17.470933,39.135279,62.174122
2010-12-07,50.400158000000005,33.545987,48.650002,191.6466,39.761845,72.374812,31.891848,8.044815,38.199858,77.48858800000001,106.779128,74.448065,57.306552,17.606676,39.287203000000005,62.304906
2010-12-08,50.63709,33.843201,48.689999,187.965201,39.910090000000004,72.240627,32.282790000000006,7.965982,38.057955,76.27179699999999,104.504586,74.356155,56.728258,17.750404,39.446721000000004,62.644940000000005
2010-12-09,51.129909000000005,33.467775,49.119999,191.408288,39.947155,72.668336,32.312863,8.015252,38.275537,76.42284699999999,106.28286000000001,74.668649,56.463716000000005,17.782345,39.651817,62.775724
2010-12-10,51.101475,33.819738,49.349998,192.00816899999998,39.891559,72.987018,32.418116,8.021165,38.048497,78.07601,105.52192600000001,74.944386,57.571093999999995,17.862194,39.644219,62.932664
2010-12-13,52.172408000000004,33.968344,50.23,194.522696,40.441326000000004,74.110801,32.906795,8.094085,38.928286,78.780905,106.96935800000001,75.762395,58.678465,18.093754999999998,40.403832,63.089604
2010-12-14,52.286134000000004,34.758303999999995,49.5,193.051772,40.552508,74.11918299999999,33.297737,8.080289,38.862065,78.965518,105.952024,74.751373,58.838416,18.125695,40.859602,62.932664
2010-12-15,51.926,34.304664,49.240002000000004,188.458239,40.225121,73.80889,32.553443,7.849705999999999,37.641712,79.552939,102.412014,74.190714,56.906667000000006,18.10174,40.077197999999996,62.644940000000005
2010-12-16,52.560976000000004,34.218628,49.549999,188.261029,40.564863,74.68946,32.763952,7.86153,38.095796,79.586502,102.866923,74.56754699999999,56.679041000000005,18.149649,40.221527,62.96754
2010-12-17,53.309681999999995,33.827558,49.540001000000004,186.53536599999998,40.188066,74.211434,32.342936,7.8536470000000005,37.736312,79.888602,102.26313499999999,74.760559,56.076133,18.277407,40.062009,62.92394300000001
2010-12-20,52.98745400000001,34.163879,50.48,188.16241100000002,40.76253,74.471418,32.440673,7.871384,37.982276,80.115177,103.36318399999999,75.532617,56.297614,18.357256,40.024026,62.96754
2010-12-21,53.755115,34.05438,50.779999,194.037872,41.157862,74.832034,32.726359,8.021165,38.114717,81.08860899999999,105.81968400000001,75.771588,57.79256899999999,18.612772,40.434217,63.403482999999994
2010-12-22,53.793022,34.109128999999996,50.630001,196.231921,41.404946,75.41069300000001,32.801542,8.10788,38.228237,82.03687,106.38210900000001,76.111655,58.450839,18.668666,40.419025,63.473234999999995
2010-12-23,53.764591,34.414163,50.139998999999996,193.1093,41.435825,76.048062,32.861684999999994,8.121675999999999,38.143096,81.76834000000001,105.976836,75.845112,58.001737,18.636727,40.457005,63.82198399999999
2010-12-27,53.262296,34.3907,49.799999,192.090335,41.479073,75.578425,32.681252,8.070435,37.707933000000004,81.29000699999999,105.629448,75.753202,58.014038,18.620757,40.145564,63.656330000000004
2010-12-28,53.03484,34.500199,49.52,191.50690600000001,41.72615,76.47577199999999,32.628626000000004,8.10788,37.490351000000004,81.98651600000001,104.29781,75.56018900000001,57.011258,18.700606,40.115181,64.0138
