Date,AAPL,EMC,ERIC,HPQ,INTC,MSFT,NOK,ORCL,QCOM,SAP,SNDK,SNE,TSM,TXN,WIT,XRX
2010-11-18,41.026234,20.633129999999998,9.116944,17.078253,17.752534,22.513851000000003,8.22908,26.808003000000003,42.893875,45.580657,37.247059,35.41,9.42871,27.845308000000003,11.580776,10.415975999999999
2010-11-19,40.800108,20.930492,9.275042,17.405974,17.85388,22.38316,8.077428999999999,26.656492,43.109601,45.773022,38.688941,35.400002,9.462872,28.252197,11.305043,10.478777000000001
2010-11-22,41.682004,20.7962,9.195993,17.717307,17.946782000000002,22.41801,7.973667,26.561797,42.974235,45.250896000000004,41.195304,35.369999,9.505575,28.517559999999996,11.580776,10.514664
2010-11-23,41.066140000000004,20.460467,9.011546000000001,18.102376,17.811653,21.886531,7.638438000000001,25.747426,42.504965000000006,44.600527,41.572709,34.450001,9.172495,28.287578000000003,11.396957,10.317289
2010-11-24,41.873548,20.968861999999998,9.222342,17.918035999999997,18.065019,22.104351,7.686328,26.268244,43.380334000000005,44.105884,43.556508,35.0,9.394548,28.791765,11.57242,10.586436
2010-11-26,41.900152,20.815385,9.195993,17.696824,18.022792000000003,21.999796,7.622475,26.031508,43.046432,44.307404,43.498447999999996,34.580002,9.394548,28.482178,11.455442,10.55055
2010-11-29,42.148893,20.777015,9.18721,17.451034,18.014346,22.052073,7.454860000000001,25.775833,42.667405,43.620396,43.75973,35.0,9.232279,28.482178,11.438732,10.407005
2010-11-30,41.388040000000004,20.613945,9.064245,17.176571,17.870770999999998,22.008509,7.367062,25.614852,42.252283,42.988351,43.159748,35.48,9.181036,28.128360999999998,11.438732,10.281403
2010-12-01,42.086376,21.007231,9.283824000000001,17.438745,18.141029,22.688108,7.662383,26.183019,43.217894,43.592917,45.385478000000006,36.470001,9.488494000000001,28.818303999999998,11.513936,10.55055
2010-12-02,42.319154,21.122339999999998,9.327739999999999,17.659957000000002,18.326832,23.428693,7.798071,26.609145,43.759361,43.93184,46.449954999999996,36.560001,9.855735000000001,29.057127,11.756239,10.559522
2010-12-03,42.224713,21.227854,9.626369,17.627183,18.318386,23.541960999999997,7.981649000000001,27.281475,44.057165000000005,44.89365,46.749946,36.32,10.222977,29.030590999999998,11.831444,10.61335
2010-12-06,42.585186,21.093562,9.441922,17.553447,18.326832,23.38513,7.925778,27.205719000000002,43.605944,44.728771,46.178998,36.57,10.154653,29.145583000000002,12.065401,10.586436
2010-12-07,42.327135999999996,20.997638000000002,9.327739999999999,17.283079,18.225483999999998,23.411269,8.013575999999999,27.508740999999997,43.741312,44.838691,46.208028000000006,36.099998,10.10341,29.55247,12.132241,10.640265
2010-12-08,42.699579,21.170301000000002,9.35409,17.475614,18.428176999999998,23.724928,8.053484,27.679191999999997,44.111312,44.655489,46.343507,36.360001000000004,10.171733999999999,29.853214,12.048682000000001,10.694094999999999
2010-12-09,42.53331,21.208671,9.310174,17.426457,18.419732,23.594237,7.790089999999999,27.707601,44.291801,44.911970000000004,46.10158,36.200001,10.27422,29.84437,12.182371,10.774839
2010-12-10,42.639722,21.342963,9.327739999999999,17.459228,18.504186999999998,23.82077,7.829998,28.351522999999997,44.652776,44.89365,47.998284999999996,35.830002,10.316922,29.0129,12.232510000000001,10.765867
2010-12-13,42.787372,21.573179,9.35409,17.093954999999998,18.15792,23.742354000000002,7.949722,28.806055999999998,44.327896,45.250896000000004,48.259567,35.880001,10.163193,28.835991999999997,12.123886,10.694094999999999
2010-12-14,42.603809000000005,21.736249,9.468271000000001,17.04881,18.132583,24.064728,7.941741,28.891282,44.382044,45.580657,47.785392,35.630001,10.171733999999999,29.0129,12.290995,10.676150999999999
2010-12-15,42.613118,21.621142000000003,9.362873,16.921578,17.972119,24.265122,7.869905999999999,28.872342,44.300824,45.122652,46.624143,35.650002,10.351084,28.871374,12.165661,10.407005
2010-12-16,42.731504,21.803395000000002,9.802032,17.217081,17.989009,24.387101,7.909814,28.664015000000003,44.806191999999996,45.333338,47.117672,35.59,10.521894,28.853683,12.700417,10.595408
2010-12-17,42.646375,22.024019,9.898648,17.221185000000002,18.124137,24.308685,7.925778,29.790878000000003,44.634726,45.800501000000004,47.291859,35.389998999999996,10.837892,28.774074,12.508242999999998,10.541578
2010-12-20,42.859199,21.880133999999998,10.100661,17.192455,17.92989,24.23027,7.901832000000001,29.989736999999998,44.616677,45.369975,47.62088,35.189999,10.530435,28.597169,12.575083,10.586436
2010-12-21,43.123902,21.995243,10.179708999999999,17.200664,17.820099,24.456803,8.1333,30.074962,45.113021999999994,45.947063,49.972409000000006,36.240002000000004,10.581678,28.694465,12.767265,10.66718
2010-12-22,43.251597,21.956872,10.021612,17.024182,17.642741,24.561357,8.189172,29.980268,45.113021999999994,45.965383,49.362753000000005,35.48,10.504813,28.721003999999997,12.717125999999999,10.55055
2010-12-23,43.044094,22.081574,9.90743,17.130893,17.600514,24.657197,8.181189999999999,29.866635,44.616677,46.029503999999996,48.78213,35.57,10.445029,28.623703999999996,12.758911,10.487748
2010-12-27,43.187752,22.14872,9.995262,17.163725,17.600514,24.456803,8.157246,29.980268,44.770094,46.304306,49.20792,35.610001000000004,10.513354,28.641395000000003,12.767265,10.43392
2010-12-28,43.292835,22.062389000000003,9.942563,17.340207,17.634296,24.404526999999998,8.125319000000001,29.895042,44.995703999999996,46.231027000000005,48.530527,35.84,10.45357,28.517559999999996,12.87588,10.389062
