Date,AMGN,AZN,BMY,BTI,BUD,CELG,JNJ,KO,MA,MO,NVO,PEP,PFE,PM,SNY,UL
2014-07-07,116.78331299999999,35.933673999999996,46.549657,116.212926,110.158906,88.860001,102.04598399999999,40.209539,75.524812,40.397465000000004,45.132335,86.73411,28.995618,80.966442,50.612633,43.494634000000005
2014-07-08,116.58892800000001,35.369989000000004,46.404222,115.371078,109.34539699999999,85.720001,101.327148,40.0187,75.039028,40.482771,44.748356,86.60863499999999,28.672282,81.163967,50.128764000000004,43.437415
2014-07-09,116.20988899999999,35.545253,46.462394,115.446752,109.82393200000001,87.519997,101.633851,40.028244,75.970938,40.568078,44.699129,86.647237,28.577183,80.91941,50.554571,43.160865
2014-07-10,115.60730900000001,35.393674,47.034448,114.888668,108.570171,87.83000200000001,101.403826,40.324040999999994,74.82091899999999,40.710258,44.728665,86.96576,28.529634,79.85654,50.002958,42.626839000000004
2014-07-11,116.404265,35.294201,47.141103,114.973803,108.206479,89.190002,100.732908,40.047329,75.177823,41.165226000000004,44.827119,86.724456,28.596203000000003,80.33624499999999,49.964251000000004,42.808026
2014-07-14,115.636472,35.459990000000005,47.587114,116.269677,108.42660900000001,88.370003,101.001272,40.438546,76.664923,41.089396,45.201254,87.911672,28.757871,80.844161,50.235215999999994,43.10365
2014-07-15,113.576045,35.531043,47.228365000000004,114.084657,107.82365700000001,86.779999,98.98853199999999,40.171371,77.646406,39.582311,45.043724,87.197409,28.919539,79.56495,49.770703000000005,42.779419
2014-07-16,114.402157,35.298935,47.315628000000004,113.384695,107.87150600000001,86.050003,97.97257900000001,40.190455,77.63649000000001,39.639183,45.289865,87.35184699999999,29.442582,79.66841600000001,50.177151,43.084577
2014-07-17,112.14735300000001,34.550517,46.947186,114.131955,106.129636,83.129997,96.19945200000001,40.095037,75.733005,39.411701,44.964957,86.859586,29.052677000000003,79.527333,49.248124,42.912925
2014-07-18,114.975581,35.298935,47.625894,114.765704,107.81408400000001,85.059998,97.570033,40.486255,76.83345899999999,39.970929999999996,44.699129,86.956106,29.223855,80.910002,49.89651,42.931998
2014-07-21,115.68506299999999,35.531043,47.431977,113.129299,107.038851,85.309998,97.062049,40.45763,76.684747,39.819274,44.423449,86.782374,28.862481,80.486737,49.809413,43.141795
2014-07-22,117.70661299999999,35.597359000000004,47.625894,113.848183,107.97678400000001,86.660004,98.212191,39.303058,77.59683299999999,39.743448,45.309556,86.068111,28.995618,80.308022,50.14812,43.685359000000005
2014-07-23,118.581323,35.497886,47.819811,114.283295,108.005495,89.120003,97.943827,38.940469,77.071392,39.5444,45.408011,87.660715,28.900519,80.025847,50.273926,43.485096
2014-07-24,118.824298,35.298935,47.955552000000004,114.24545800000001,108.15863,86.190002,97.953406,39.093139,76.902856,39.847712,44.768048,88.712802,28.852970000000003,80.45852,50.351344,43.036896999999996
2014-07-25,119.387993,35.279990999999995,47.887682,113.77250900000001,106.12006399999999,87.160004,97.867149,39.121764,75.09851,39.563357,45.201254,88.365324,28.710323,79.809507,49.325545,42.388434000000004
2014-07-28,119.203337,35.000516,48.285211,113.848183,105.07685900000001,87.639999,97.867149,38.816423,75.534728,39.47805,45.201254,87.805498,28.624734000000004,79.46149100000001,49.528769,42.521941
2014-07-29,119.84478600000001,34.631043,49.458405,114.07519599999999,104.981154,87.730003,97.723381,38.501539,75.237305,39.373785999999996,45.457239,87.004369,28.272866999999998,79.621391,49.741671999999994,42.550548
2014-07-30,126.356503,34.668938,49.565059000000005,112.523926,104.971581,88.339996,98.049257,37.804981,75.257137,38.975685999999996,45.693535,85.81716,28.071399,78.24812299999999,50.496506,41.959303999999996
2014-07-31,123.810134,34.479464,49.080268,111.048328,103.344563,87.150002,95.93108000000001,37.490101,73.512272,38.482802,45.339092,85.035332,27.534148,77.13821999999999,50.583602,41.225016
2014-08-01,122.02184399999999,34.384725,48.294909000000004,109.82812,102.444913,86.650002,95.74898,37.490101,74.335135,38.388019,44.374221999999996,85.044986,27.687648,77.034754,51.473918,41.158263
2014-08-04,125.03472,34.90578,48.459736,109.572724,103.851809,87.459999,95.998178,37.595062,75.029112,38.606024,44.689281,86.570026,27.582116,77.251087,51.986821,40.919858000000005
2014-08-05,124.28636200000001,34.299465000000005,47.858596,109.421384,103.17229,86.57,95.672302,37.385139,74.553237,38.454368,45.092952000000004,86.097066,27.255927000000003,76.73376400000001,51.261018,41.053364
2014-08-06,123.518561,33.588939,47.974945,110.22539499999999,103.258422,86.129997,96.52532,38.091238,74.711864,39.269521999999995,44.659746000000005,87.361501,27.131209000000002,78.520896,50.806181,41.384361
2014-08-07,122.21622099999999,33.162622999999996,47.170193,109.21328500000001,102.20564499999999,85.220001,95.777732,37.54735,73.42304200000001,39.004124,43.6358,86.77271999999999,26.900958000000003,77.796634,49.770703000000005,41.393985
2014-08-08,123.382496,32.442621,47.693765,109.74298600000002,103.057438,86.510002,96.879949,37.642771,74.523496,39.459092999999996,43.655491999999995,87.149153,27.188771000000003,78.859504,50.631988,41.345875
2014-08-11,123.742101,32.831042,47.596808,109.724071,103.813526,86.879997,96.956627,37.757273,74.979539,39.819274,43.694875,88.59697299999999,27.102427000000002,79.33921,50.409409000000004,41.365120000000005
2014-08-12,123.36124199999999,32.783674,47.490153,110.15918300000001,103.679536,86.449997,96.448643,37.862234,74.979539,39.771882,43.222285,88.037148,26.939333,79.17931,50.370699,41.42285
2014-08-13,124.357348,32.874860999999996,47.674372999999996,110.017297,103.440268,88.410004,97.51252099999999,38.110322,75.643782,39.876146999999996,43.616108000000004,88.54871,27.064051,79.452084,50.719085,41.547937
2014-08-14,128.771481,32.94205,48.304603,111.11454099999999,104.674891,88.459999,97.780885,38.339329,75.395932,40.056237,43.891788,88.59697299999999,27.562928000000003,79.884757,51.144887,41.70189
2014-08-15,129.68946599999998,32.894058,48.168862,111.398306,105.35441100000001,89.610001,96.966206,39.007262,74.563153,39.999368,43.921324,88.654884,27.476584000000003,79.4803,50.767471,41.865462
2014-08-18,130.099627,33.729127000000005,48.469434,112.448252,105.97650900000001,91.309998,98.43263,39.455729,76.109734,40.283722999999995,44.35453,88.944451,27.668459999999996,79.94119,51.715852000000005,41.884707
2014-08-19,129.904314,33.844308000000005,48.770002000000005,112.85498799999999,106.368904,91.360001,98.68182900000001,39.369851000000004,75.742921,40.473295,44.541599,88.66453800000001,27.764398,80.308022,51.570694,42.192612
2014-08-20,129.57226699999998,34.074673,48.517912,111.98633400000001,105.63196200000002,92.0,98.921441,39.360310999999996,75.733005,40.245808000000004,44.984649,89.02167,27.716428000000004,80.035248,51.086826,41.942440000000005
2014-08-21,129.42578600000002,35.12571,48.469434,111.85210500000001,106.368904,91.660004,99.860724,39.512980999999996,76.327843,40.359553000000005,44.708973,88.847931,27.649271999999996,80.091689,52.006176,42.173371
2014-08-22,129.709002,35.058521,48.653653000000006,111.142597,105.411833,91.620003,99.484398,39.236265,75.82223499999999,40.36903,44.63021,88.41358000000001,27.745209999999997,79.329802,50.980374,41.798108
2014-08-25,131.632845,35.461656,49.186923,112.110974,106.90486200000001,93.400002,99.609844,39.512980999999996,75.772662,40.539644,44.807428,89.948274,27.735615999999997,80.129313,51.986821,42.173371
2014-08-26,134.054768,35.389666999999996,49.225707,111.880867,107.201559,95.660004,99.812478,39.694276,76.33775899999999,40.624951,45.161871000000005,89.378794,28.023428999999997,80.195155,53.022299,42.240725
2014-08-27,134.601649,35.298484,48.721524,112.57119499999999,107.11541899999999,94.739998,99.600192,39.694276,75.980855,40.587036,45.339092,89.02167,28.292054999999998,80.18574699999999,53.428746999999994,42.154126
2014-08-28,135.441506,35.629629,49.002703000000004,112.44654799999999,106.502894,94.699997,99.33965699999999,39.722904,75.504987,40.672343,44.964957,89.359493,28.186522999999998,80.195155,52.935203,42.22148
2014-08-29,136.115346,36.479099,49.109358,113.539565,106.981429,95.019997,100.092309,39.808781,75.15799100000001,40.833479,45.250481,89.27261999999999,28.196116999999997,80.496145,52.935203,42.394677
2014-09-02,134.728608,35.8216,49.041488,113.040999,106.52203899999999,95.089996,99.735282,39.732444,74.929974,40.937740000000005,44.689281,89.262973,28.071399,80.411488,53.196492000000006,42.510141
2014-09-03,135.334082,36.239136,48.993005,113.040999,107.58438899999999,94.940002,100.121256,39.86603,75.286878,40.966178,44.964957,90.162161,28.205710999999997,80.326837,53.93196999999999,42.731446999999996
2014-09-04,134.777425,35.788005,49.012398,112.830064,108.55102600000001,93.93,100.19844499999999,39.951907,75.723089,40.890347999999996,43.901632,89.28726999999999,28.176931,79.94119,53.82551899999999,42.875779
2014-09-05,134.65048000000002,35.869592,49.565059000000005,112.945121,108.19691399999999,93.790001,100.758107,39.923283000000005,76.198964,41.127311,43.941016,89.190062,28.445556,80.373863,53.961001,42.923888
2014-09-08,136.007922,35.447259,49.63293,111.334359,106.665594,94.029999,100.401087,39.86603,75.57438499999999,41.222099,44.088698,89.296993,28.205710999999997,79.010003,53.728747,42.173371
2014-09-09,134.171952,35.312881,48.944527,111.11383500000001,106.69431200000001,92.93,100.15985400000001,40.0187,75.415757,41.373754999999996,45.112643,88.869268,28.042617,78.850103,53.999712,41.952061
2014-09-10,135.929794,35.850394,49.526278999999995,112.62872,106.91443500000001,94.089996,101.30811700000001,40.238164000000005,75.990771,41.572803,45.240637,89.22894699999999,28.244087,79.18871800000001,54.038422,42.067528
2014-09-11,135.705186,35.485654,49.138444,112.772539,107.297265,91.959999,100.883553,40.319863,74.96963000000001,41.428916,46.057821999999994,89.092854,28.426368,79.4803,53.93196999999999,41.961684999999996
2014-09-12,134.66024099999998,35.178502,48.731218,113.18481799999999,106.18705800000001,91.519997,100.912499,39.848902,74.82091899999999,41.400141,46.806092,88.334618,28.234493,79.028811,54.609387,42.096393
2014-09-15,134.738369,35.408864,48.430649,113.280695,109.53680800000001,89.459999,101.047589,39.887349,74.592894,42.464881,47.032540000000004,88.655405,28.704588,79.19811899999999,54.299711,42.096393
2014-09-16,136.06651399999998,35.341675,49.594149,112.954704,109.54638100000001,92.57,102.166905,40.021908,75.931282,42.551211,47.012848999999996,89.987183,28.829306,79.78129,54.367453000000005,42.067528
2014-09-17,137.414196,35.159304999999996,49.332361999999996,113.079351,108.397898,92.260002,102.466039,39.993075,75.56446899999999,42.791017,47.721734999999995,90.25936899999999,29.117121,79.85654,54.69648299999999,40.960993
2014-09-18,138.69351,35.591238,49.565059000000005,113.558745,109.785648,93.269997,103.585355,40.16608,77.130882,42.915717,48.273087,90.764865,29.337777000000003,79.687232,55.141641,41.134190000000004
2014-09-19,140.636889,35.859995,49.943196,113.951843,109.881354,93.849998,104.202911,40.415975,76.61535,43.155524,47.662659999999995,91.173144,29.165089000000002,80.467928,54.860997,40.951372
2014-09-22,138.849751,35.835997,50.098329,113.59709699999999,109.642086,92.190002,104.09676800000001,40.579371,75.504987,43.500840999999994,47.564205,90.969004,28.954027000000004,80.938226,55.441641000000004,41.095701
2014-09-23,137.384885,34.137062,49.729890000000005,111.32476899999999,109.10612900000001,93.120003,103.691498,40.262192999999996,74.860576,42.992453000000005,46.953773999999996,90.33713900000001,28.829306,79.61542800000001,53.961001,40.633843
2014-09-24,138.90835800000002,34.391426,50.379509000000006,112.31231799999999,109.38368,96.209999,104.830117,40.627428,76.387332,43.836572,47.258989,90.891235,29.078745,80.36722900000001,55.093255000000006,40.701197
2014-09-25,136.57433899999998,34.069873,50.049851000000004,110.365982,107.699233,93.160004,103.344123,40.156467,74.07736899999999,43.27063,47.042384000000006,90.084391,28.76215,79.653488,54.048097999999996,40.133497
2014-09-26,137.755989,34.535401,49.545667,110.03040800000001,107.211124,94.459999,103.344123,40.560148,74.41444200000001,43.942088,47.377136,90.53155600000001,28.512712,79.20621700000001,54.280356000000005,40.412537
2014-09-29,136.789187,34.530601000000004,50.137113,109.61812900000001,105.938225,95.639999,102.803764,40.608204,73.879085,44.162709,47.652815999999994,90.551002,28.560682,78.663774,53.912615,40.143121
2014-09-30,137.170052,34.285841999999995,49.623236,108.41964499999999,106.091353,94.779999,102.852006,41.002272,73.284247,44.066784000000006,46.884855,90.492671,28.368806,79.36799599999999,54.609387,40.316318
2014-10-01,135.568465,33.849108,49.340064,108.17035800000001,103.124433,93.43,100.64232,41.079165,72.689409,43.903718,47.081768,90.064952,27.965867,79.434612,54.07713199999999,39.623531
2014-10-02,133.9864,33.249202000000004,49.0276,107.921072,102.34920799999999,92.809998,100.208096,41.002272,72.788547,43.615951,46.747015999999995,89.99690600000001,27.879523,80.138834,53.225522999999995,39.402224
2014-10-03,135.890723,33.517959000000005,49.652528000000004,106.77053000000001,102.83730899999999,95.209999,101.443207,41.32906,73.690724,44.30659,46.855319,90.891235,28.033022999999996,80.42433299999999,52.983589,39.229028
2014-10-06,134.3868,33.585151,49.906407,107.825195,103.76566899999999,94.5,101.18267900000001,41.905743,73.869176,44.613541999999995,46.353194,90.764865,27.985055,80.48143,53.080360999999996,39.469578000000006
2014-10-07,132.843806,33.129221,48.597963,106.44453899999999,100.83703299999999,92.449997,98.799298,42.213308000000005,72.419595,44.172299,45.053568,90.502394,27.620492,79.919958,52.015852,38.892254
2014-10-08,136.789187,33.316390999999996,49.0276,108.80316100000002,101.97595,94.889999,101.230928,42.818828,73.531599,44.891718,45.536004999999996,91.318961,28.186522999999998,80.947739,52.722299,39.729374
2014-10-09,134.357504,32.226963,48.334321,107.27868600000001,100.511625,92.379997,98.50017199999999,42.165252,71.317514,44.479251,43.921324,90.959281,27.812365999999997,79.862853,51.367470000000004,39.229028
2014-10-10,134.171952,32.831669,49.095951,105.87885800000001,101.698399,90.93,97.679982,42.741938,69.997001,44.814982,42.946606,92.00915,27.946679,80.20545,50.738440000000004,38.834524
2014-10-13,130.431659,33.325992,47.933976,104.96801299999998,101.478269,87.480003,95.643976,42.357481,69.282137,44.172299,42.710313,91.318961,27.313489,80.00560300000001,50.612633,38.632463
2014-10-14,129.103514,33.503561,47.767977,104.383152,101.286858,86.480003,93.60797099999999,41.94419,70.493434,44.297,43.025372,90.414908,27.303895,79.643977,50.564246999999995,38.651703000000005
2014-10-15,127.83396,32.831669,47.807036,104.45985,101.00930600000001,86.550003,94.765885,41.550121999999995,70.791296,43.673502,42.907226,89.209501,27.044865,79.539294,49.838444,38.468886
2014-10-16,127.394503,32.42373,48.060915,104.306448,99.391853,86.379997,93.386034,40.906159,70.354433,43.328181,42.080193,88.256848,26.57477,81.138074,49.006190000000004,37.901185999999996
2014-10-17,130.558619,32.543712,49.232654,106.94311200000001,101.880237,88.120003,95.2387,41.213724,71.049436,43.798202,43.6358,88.95676,26.699488,81.842297,50.128764000000004,38.747926
2014-10-20,134.289137,32.610901,49.36936,107.326628,102.483197,92.0,95.721165,41.607791999999996,71.526015,44.527212,44.256075,90.93984300000001,26.795426000000003,82.727336,50.109409,38.978853
2014-10-21,140.715017,33.114823,50.726626,108.12241599999999,103.58383,94.970001,96.840489,39.099213,73.630892,45.102748999999996,44.728665,91.11482099999999,27.131209000000002,83.222193,50.467475,39.498443
2014-10-22,140.27556,33.009239,50.619215999999994,103.750349,102.39705699999999,94.760002,97.67033,39.041544,72.69759599999999,45.141119,44.640054,91.824449,27.150395,83.36494300000001,50.931988,38.949988
2014-10-23,143.801005,33.282796000000005,51.263673,103.759939,103.124433,100.400002,99.030879,39.272219,73.56138399999999,45.208264,45.014189,91.14398299999999,27.438209999999998,83.38398000000001,51.802949,37.660635
2014-10-24,143.810765,33.652341,52.367064,104.680374,104.08150400000001,103.239998,99.513345,39.435611,73.47203,45.553585,45.063416,91.960542,27.927493,83.80270300000001,52.277141,37.497062
2014-10-27,144.72875,33.959492,52.269417,105.10224299999999,103.363701,103.099998,100.42038199999999,39.176103000000005,73.581245,45.697466999999996,45.092952000000004,91.979988,27.850741999999997,83.783673,51.115856,37.939675
2014-10-28,153.508185,34.281040999999995,52.923641,106.16649699999999,105.45968899999998,105.699997,101.115134,38.983877,75.45776,45.591952,42.828459,92.602131,27.908305,84.002549,46.519107,38.449642
2014-10-29,155.158603,34.329033,52.884581999999995,106.329489,105.20127600000001,105.139999,101.85812800000001,39.368332,75.447829,45.630322,42.838303,92.048035,28.292054999999998,83.659961,43.761058,38.343799
2014-10-30,157.79535900000002,34.842553,57.591075,106.56918600000002,105.287416,106.940002,103.286229,39.791236,82.536887,45.563176,45.496621999999995,92.981249,28.627838,84.078684,44.225572,38.286069
2014-10-31,158.381296,35.005728999999995,56.819678,108.87985900000001,106.215777,107.089996,104.000276,40.252583,83.152466,46.368925,44.482524,93.486737,28.73337,84.706779,44.74815,38.709437
2014-11-03,157.775823,34.823355,56.438862,108.02653899999999,104.847164,107.410004,103.691498,40.185303999999995,83.529752,46.925274,43.429043,93.156227,28.963621000000003,84.878077,44.302989000000004,38.440021
2014-11-04,156.652765,35.207297,56.477920999999995,109.52225200000001,104.703602,105.75,104.810822,40.194913,83.390751,47.404886,43.497962,94.03111700000001,29.049965000000004,85.125502,44.022348,38.584348999999996
2014-11-05,155.217196,35.260089,56.458392,109.90576100000001,105.182138,105.150002,105.003805,40.665874,85.376482,47.721432,43.310896,94.186649,29.069319,85.553751,44.225572,38.821278
2014-11-06,156.594173,34.962534000000005,57.08331999999999,109.426367,105.03982099999999,107.139999,105.187145,40.646651,85.138196,47.53918,43.113983000000005,94.108879,29.069319,83.269779,44.380409,38.801858
2014-11-07,156.496509,34.976931,56.946617,109.531834,104.88492,106.449997,104.40554499999999,40.675484000000004,84.19497700000001,47.836538,43.015525,94.099164,28.953195,83.85980699999999,44.215892,38.821278
2014-11-10,159.87856399999998,35.135307,57.42508,109.934531,106.027289,108.010002,105.003805,40.742763000000004,84.24461600000001,47.836538,42.631546,94.26441899999999,29.224148,84.145299,44.699760999999995,39.161137
2014-11-11,159.221758,35.610432,57.337199,110.845375,106.87923,107.849998,105.090653,40.858098999999996,83.986469,47.270595,43.645648,94.001948,29.34027,83.831251,45.619111,39.559253999999996
2014-11-12,158.741402,35.63923,57.229789000000004,110.135875,105.80462800000001,108.25,104.93626,41.050328,83.748184,47.318559,43.6358,94.44912,29.437039000000002,83.650442,45.057826,39.229108000000004
2014-11-13,157.682681,35.768808,56.438862,110.93166299999999,107.266475,107.43,105.245038,41.127221,83.599252,47.433665000000005,43.340432,95.79061300000001,29.437039000000002,83.612375,45.028791,39.520412
2014-11-14,154.575089,34.962534000000005,56.585331999999994,109.90576100000001,107.237425,104.050003,104.366955,41.069552,83.45032900000001,46.790983000000004,43.448734,94.993493,29.359624,82.10875899999999,45.173953000000004,39.530121
2014-11-17,156.006347,34.794561,57.054028,111.51652299999999,107.189024,104.360001,104.502044,41.252167,82.606387,47.049974,42.926914000000004,95.673959,29.34027,83.079451,46.006207,39.491279
2014-11-18,159.04531,35.504851,57.31766999999999,111.30558899999998,107.91510600000001,106.779999,105.013457,41.838464,83.301397,47.261004,43.537345,95.207356,29.601546000000003,82.917664,46.799751,39.734033000000004
2014-11-19,159.437428,36.176743,57.42508,112.110974,108.621821,106.980003,104.945912,42.501653000000005,83.67868299999999,47.136303999999996,44.049318,95.664243,29.456393,82.632172,46.538462,40.122442
2014-11-20,159.47663300000002,35.615232,57.229789000000004,111.36312099999999,109.23173500000001,107.349998,104.38625,42.530485999999996,83.9964,46.838947,43.665335999999996,95.324003,29.456393,81.66148000000001,45.067502000000005,40.141863
2014-11-21,159.60407800000002,35.783205,57.415313,111.545286,110.8872,108.199997,104.755309,42.770771,84.115546,47.232229,43.606264,96.130847,29.466070000000002,82.793951,45.628791,40.268096
2014-11-24,160.94709699999999,35.552842999999996,57.483665,111.583638,111.63264099999999,110.980003,103.803515,42.549709,84.383617,47.241819,43.773638,95.926707,29.243501000000002,82.318124,45.783628,40.384617
2014-11-25,159.04531,35.351276,57.141907999999994,112.091801,111.40998,111.07,103.62869599999999,42.703492,85.72398299999999,47.443256,43.980395,96.169731,29.485422999999997,82.12779599999999,46.112659,40.122442
2014-11-26,161.476472,35.471257,57.473902,112.187679,111.46806399999998,112.610001,104.124018,42.863177,85.942415,47.692656,44.236383000000004,96.578011,30.095066,82.413288,46.538462,40.384617
